Datum,Zeit,Schritte
2026.02.25 15:43:00,15:43:00,19
2026.02.25 15:44:00,15:44:00,1
2026.02.25 15:45:00,15:45:00,55
2026.02.25 15:46:00,15:46:00,62
2026.02.25 15:47:00,15:47:00,39
2026.02.25 15:56:00,15:56:00,26
2026.02.25 15:57:00,15:57:00,7
2026.02.25 15:58:00,15:58:00,10
2026.02.25 15:59:00,15:59:00,46
2026.02.25 16:00:00,16:00:00,25
2026.02.25 16:01:00,16:01:00,52
2026.02.25 16:02:00,16:02:00,36
2026.02.25 16:03:00,16:03:00,37
2026.02.25 16:04:00,16:04:00,10
2026.02.25 16:05:00,16:05:00,12
2026.02.25 16:06:00,16:06:00,8
2026.02.25 16:09:00,16:09:00,34
2026.02.25 16:10:00,16:10:00,11
2026.02.25 16:11:00,16:11:00,10
2026.02.25 16:14:00,16:14:00,16
2026.02.25 16:17:00,16:17:00,21
2026.02.25 16:18:00,16:18:00,26
2026.02.25 16:21:00,16:21:00,26
2026.02.25 16:22:00,16:22:00,35
2026.02.25 16:23:00,16:23:00,32
2026.02.25 16:25:00,16:25:00,9
2026.02.25 16:26:00,16:26:00,20
2026.02.25 16:27:00,16:27:00,28
2026.02.25 16:28:00,16:28:00,58
2026.02.25 16:29:00,16:29:00,31
2026.02.25 16:30:00,16:30:00,26
2026.02.25 16:31:00,16:31:00,12
2026.02.25 16:34:00,16:34:00,10
2026.02.25 16:35:00,16:35:00,61
2026.02.25 16:36:00,16:36:00,34
2026.02.25 16:37:00,16:37:00,11
2026.02.25 16:38:00,16:38:00,17
2026.02.25 16:41:00,16:41:00,31
2026.02.25 16:42:00,16:42:00,32
2026.02.25 16:49:00,16:49:00,18
2026.02.25 16:50:00,16:50:00,17
2026.02.25 16:52:00,16:52:00,24
2026.02.25 16:53:00,16:53:00,31
2026.02.25 16:55:00,16:55:00,26
2026.02.25 16:56:00,16:56:00,33
2026.02.25 16:57:00,16:57:00,30
2026.02.25 16:58:00,16:58:00,22
2026.02.25 16:59:00,16:59:00,12
2026.02.25 17:00:00,17:00:00,65
2026.02.25 17:01:00,17:01:00,68
2026.02.25 17:02:00,17:02:00,16
2026.02.25 17:03:00,17:03:00,36
2026.02.25 17:04:00,17:04:00,10
2026.02.25 17:06:00,17:06:00,15
2026.02.25 17:08:00,17:08:00,23
2026.02.25 17:09:00,17:09:00,25
2026.02.25 17:16:00,17:16:00,10
2026.02.25 17:32:00,17:32:00,6
2026.02.25 17:33:00,17:33:00,7
2026.02.25 17:41:00,17:41:00,31
2026.02.25 17:43:00,17:43:00,42
2026.02.25 17:44:00,17:44:00,62
2026.02.25 17:45:00,17:45:00,20
2026.02.25 17:46:00,17:46:00,13
2026.02.25 17:50:00,17:50:00,10
2026.02.25 17:51:00,17:51:00,8
2026.02.25 17:52:00,17:52:00,19
2026.02.25 17:56:00,17:56:00,10
2026.02.25 18:09:00,18:09:00,29
2026.02.25 18:11:00,18:11:00,48
2026.02.25 18:14:00,18:14:00,12
2026.02.25 18:15:00,18:15:00,25
2026.02.25 18:16:00,18:16:00,18
2026.02.25 18:20:00,18:20:00,10
2026.02.25 18:22:00,18:22:00,26
2026.02.25 18:23:00,18:23:00,21
2026.02.25 18:46:00,18:46:00,28
2026.02.25 18:47:00,18:47:00,13
2026.02.25 18:48:00,18:48:00,43
2026.02.25 18:49:00,18:49:00,0
2026.02.25 18:51:00,18:51:00,43
2026.02.25 18:52:00,18:52:00,54
2026.02.25 18:53:00,18:53:00,46
2026.02.25 18:54:00,18:54:00,25
2026.02.25 18:55:00,18:55:00,31
2026.02.25 18:56:00,18:56:00,37
2026.02.25 18:57:00,18:57:00,20
2026.02.25 18:58:00,18:58:00,13
2026.02.25 18:59:00,18:59:00,26
2026.02.25 19:00:00,19:00:00,36
2026.02.25 19:01:00,19:01:00,68
2026.02.25 19:02:00,19:02:00,20
2026.02.25 19:05:00,19:05:00,18
2026.02.25 19:08:00,19:08:00,17
2026.02.25 19:10:00,19:10:00,18
2026.02.25 19:13:00,19:13:00,33
2026.02.25 19:14:00,19:14:00,33
2026.02.25 19:15:00,19:15:00,34
2026.02.25 19:17:00,19:17:00,6
2026.02.25 19:40:00,19:40:00,44
2026.02.25 19:42:00,19:42:00,43
2026.02.25 19:43:00,19:43:00,37
2026.02.25 19:45:00,19:45:00,34
2026.02.25 19:46:00,19:46:00,8
2026.02.25 19:47:00,19:47:00,25
2026.02.25 19:48:00,19:48:00,68
2026.02.25 19:49:00,19:49:00,30
2026.02.25 19:50:00,19:50:00,23
2026.02.25 19:51:00,19:51:00,77
2026.02.25 19:52:00,19:52:00,50
2026.02.25 19:53:00,19:53:00,64
2026.02.25 19:54:00,19:54:00,31
2026.02.25 19:55:00,19:55:00,70
2026.02.25 19:56:00,19:56:00,29
2026.02.25 20:12:00,20:12:00,10
2026.02.25 20:33:00,20:33:00,29
2026.02.25 21:03:00,21:03:00,34
2026.02.25 21:04:00,21:04:00,6
2026.02.25 21:05:00,21:05:00,28
2026.02.25 23:31:00,23:31:00,12
2026.02.25 23:32:00,23:32:00,3
2026.02.25 23:33:00,23:33:00,28
2026.02.25 23:41:00,23:41:00,12
