Datum,Zeit,Schritte
2026.02.25 05:44:00,05:44:00,17
2026.02.25 09:53:00,09:53:00,12
2026.02.25 09:54:00,09:54:00,23
2026.02.25 10:02:00,10:02:00,21
2026.02.25 10:03:00,10:03:00,9
2026.02.25 10:05:00,10:05:00,12
2026.02.25 10:06:00,10:06:00,12
2026.02.25 10:07:00,10:07:00,6
2026.02.25 10:10:00,10:10:00,55
2026.02.25 11:53:00,11:53:00,8
2026.02.25 11:54:00,11:54:00,6
2026.02.25 11:55:00,11:55:00,13
2026.02.25 12:31:00,12:31:00,9
2026.02.25 12:32:00,12:32:00,37
2026.02.25 12:33:00,12:33:00,49
2026.02.25 12:34:00,12:34:00,37
2026.02.25 12:36:00,12:36:00,35
2026.02.25 12:37:00,12:37:00,75
2026.02.25 12:38:00,12:38:00,25
2026.02.25 12:39:00,12:39:00,16
2026.02.25 12:41:00,12:41:00,16
2026.02.25 12:42:00,12:42:00,12
2026.02.25 12:43:00,12:43:00,48
2026.02.25 12:44:00,12:44:00,37
2026.02.25 12:45:00,12:45:00,21
2026.02.25 12:46:00,12:46:00,10
2026.02.25 12:47:00,12:47:00,29
2026.02.25 12:48:00,12:48:00,30
2026.02.25 12:49:00,12:49:00,98
2026.02.25 12:50:00,12:50:00,90
2026.02.25 12:51:00,12:51:00,75
2026.02.25 12:52:00,12:52:00,86
2026.02.25 12:53:00,12:53:00,91
2026.02.25 12:54:00,12:54:00,107
2026.02.25 12:55:00,12:55:00,58
2026.02.25 12:56:00,12:56:00,97
2026.02.25 12:57:00,12:57:00,88
2026.02.25 12:58:00,12:58:00,38
2026.02.25 12:59:00,12:59:00,50
2026.02.25 13:00:00,13:00:00,25
2026.02.25 13:01:00,13:01:00,35
2026.02.25 13:02:00,13:02:00,74
2026.02.25 13:03:00,13:03:00,102
2026.02.25 13:04:00,13:04:00,81
2026.02.25 13:05:00,13:05:00,66
2026.02.25 13:06:00,13:06:00,86
2026.02.25 13:07:00,13:07:00,105
2026.02.25 13:08:00,13:08:00,72
2026.02.25 13:09:00,13:09:00,116
2026.02.25 13:10:00,13:10:00,98
2026.02.25 13:11:00,13:11:00,103
2026.02.25 13:12:00,13:12:00,80
2026.02.25 13:13:00,13:13:00,58
2026.02.25 13:17:00,13:17:00,27
2026.02.25 13:19:00,13:19:00,19
2026.02.25 13:21:00,13:21:00,12
2026.02.25 13:22:00,13:22:00,29
2026.02.25 13:23:00,13:23:00,11
2026.02.25 13:34:00,13:34:00,22
2026.02.25 13:35:00,13:35:00,31
2026.02.25 13:37:00,13:37:00,12
2026.02.25 13:41:00,13:41:00,17
2026.02.25 13:42:00,13:42:00,37
2026.02.25 13:44:00,13:44:00,32
2026.02.25 13:45:00,13:45:00,14
2026.02.25 13:46:00,13:46:00,29
2026.02.25 13:48:00,13:48:00,10
2026.02.25 13:50:00,13:50:00,13
2026.02.25 13:51:00,13:51:00,26
2026.02.25 13:53:00,13:53:00,28
2026.02.25 13:59:00,13:59:00,68
2026.02.25 14:00:00,14:00:00,48
2026.02.25 14:01:00,14:01:00,50
2026.02.25 14:02:00,14:02:00,10
2026.02.25 14:03:00,14:03:00,45
2026.02.25 14:04:00,14:04:00,42
2026.02.25 14:05:00,14:05:00,44
2026.02.25 14:06:00,14:06:00,72
2026.02.25 14:07:00,14:07:00,48
2026.02.25 14:08:00,14:08:00,34
2026.02.25 14:09:00,14:09:00,75
2026.02.25 14:10:00,14:10:00,35
2026.02.25 14:11:00,14:11:00,38
2026.02.25 14:12:00,14:12:00,75
2026.02.25 14:13:00,14:13:00,35
2026.02.25 14:14:00,14:14:00,72
2026.02.25 14:15:00,14:15:00,45
2026.02.25 14:16:00,14:16:00,45
2026.02.25 14:20:00,14:20:00,11
2026.02.25 14:22:00,14:22:00,16
2026.02.25 14:23:00,14:23:00,53
2026.02.25 14:24:00,14:24:00,75
2026.02.25 14:25:00,14:25:00,34
2026.02.25 14:36:00,14:36:00,16
2026.02.25 14:37:00,14:37:00,26
2026.02.25 14:40:00,14:40:00,58
2026.02.25 14:41:00,14:41:00,63
2026.02.25 14:42:00,14:42:00,66
2026.02.25 14:43:00,14:43:00,71
2026.02.25 14:47:00,14:47:00,16
2026.02.25 14:48:00,14:48:00,10
2026.02.25 14:53:00,14:53:00,39
2026.02.25 14:54:00,14:54:00,66
2026.02.25 14:55:00,14:55:00,0
2026.02.25 14:56:00,14:56:00,97
2026.02.25 14:57:00,14:57:00,69
2026.02.25 14:58:00,14:58:00,10
2026.02.25 15:06:00,15:06:00,12
2026.02.25 15:08:00,15:08:00,8
2026.02.25 15:09:00,15:09:00,18
2026.02.25 15:12:00,15:12:00,18
2026.02.25 15:13:00,15:13:00,52
2026.02.25 15:14:00,15:14:00,10
2026.02.25 15:15:00,15:15:00,65
2026.02.25 15:16:00,15:16:00,35
2026.02.25 15:17:00,15:17:00,10
2026.02.25 15:18:00,15:18:00,35
2026.02.25 15:19:00,15:19:00,13
2026.02.25 15:20:00,15:20:00,26
2026.02.25 15:21:00,15:21:00,30
2026.02.25 15:22:00,15:22:00,8
2026.02.25 15:23:00,15:23:00,10
2026.02.25 15:40:00,15:40:00,10
2026.02.25 15:41:00,15:41:00,17
