Datum,Zeit,Schritte
2026.02.21 07:05:00,07:05:00,19
2026.02.21 07:34:00,07:34:00,24
2026.02.21 07:35:00,07:35:00,8
2026.02.21 07:37:00,07:37:00,28
2026.02.21 07:38:00,07:38:00,49
2026.02.21 07:39:00,07:39:00,37
2026.02.21 07:40:00,07:40:00,41
2026.02.21 07:41:00,07:41:00,35
2026.02.21 07:42:00,07:42:00,57
2026.02.21 07:43:00,07:43:00,33
2026.02.21 07:44:00,07:44:00,25
2026.02.21 07:45:00,07:45:00,22
2026.02.21 07:47:00,07:47:00,47
2026.02.21 07:48:00,07:48:00,85
2026.02.21 07:49:00,07:49:00,29
2026.02.21 07:50:00,07:50:00,56
2026.02.21 07:51:00,07:51:00,52
2026.02.21 07:52:00,07:52:00,51
2026.02.21 07:53:00,07:53:00,39
2026.02.21 07:54:00,07:54:00,59
2026.02.21 07:55:00,07:55:00,11
2026.02.21 07:56:00,07:56:00,11
2026.02.21 08:18:00,08:18:00,20
2026.02.21 08:21:00,08:21:00,16
2026.02.21 08:22:00,08:22:00,12
2026.02.21 08:29:00,08:29:00,55
2026.02.21 08:30:00,08:30:00,63
2026.02.21 08:31:00,08:31:00,72
2026.02.21 08:32:00,08:32:00,111
2026.02.21 08:33:00,08:33:00,78
2026.02.21 08:34:00,08:34:00,26
2026.02.21 08:37:00,08:37:00,30
2026.02.21 08:48:00,08:48:00,59
2026.02.21 08:49:00,08:49:00,98
2026.02.21 08:50:00,08:50:00,105
2026.02.21 08:51:00,08:51:00,71
2026.02.21 08:52:00,08:52:00,18
2026.02.21 08:53:00,08:53:00,23
2026.02.21 08:57:00,08:57:00,11
2026.02.21 08:59:00,08:59:00,11
2026.02.21 09:00:00,09:00:00,1
2026.02.21 09:06:00,09:06:00,10
2026.02.21 09:07:00,09:07:00,12
2026.02.21 09:09:00,09:09:00,12
2026.02.21 09:11:00,09:11:00,18
2026.02.21 09:12:00,09:12:00,46
2026.02.21 09:13:00,09:13:00,41
2026.02.21 09:14:00,09:14:00,20
2026.02.21 09:15:00,09:15:00,5
2026.02.21 09:16:00,09:16:00,13
2026.02.21 09:17:00,09:17:00,3
2026.02.21 09:18:00,09:18:00,11
2026.02.21 09:20:00,09:20:00,14
2026.02.21 09:21:00,09:21:00,10
2026.02.21 09:23:00,09:23:00,21
2026.02.21 09:25:00,09:25:00,22
2026.02.21 09:26:00,09:26:00,39
2026.02.21 09:27:00,09:27:00,16
2026.02.21 09:28:00,09:28:00,22
2026.02.21 09:30:00,09:30:00,23
2026.02.21 09:32:00,09:32:00,15
2026.02.21 09:33:00,09:33:00,22
2026.02.21 09:34:00,09:34:00,34
2026.02.21 09:35:00,09:35:00,24
2026.02.21 09:36:00,09:36:00,28
2026.02.21 09:38:00,09:38:00,20
2026.02.21 09:39:00,09:39:00,38
2026.02.21 09:40:00,09:40:00,15
2026.02.21 09:41:00,09:41:00,11
2026.02.21 09:42:00,09:42:00,29
2026.02.21 09:45:00,09:45:00,27
2026.02.21 09:46:00,09:46:00,37
2026.02.21 09:47:00,09:47:00,11
2026.02.21 09:49:00,09:49:00,55
2026.02.21 09:50:00,09:50:00,38
2026.02.21 09:51:00,09:51:00,18
2026.02.21 09:52:00,09:52:00,10
2026.02.21 09:53:00,09:53:00,32
2026.02.21 09:54:00,09:54:00,10
2026.02.21 09:56:00,09:56:00,39
2026.02.21 09:58:00,09:58:00,21
2026.02.21 09:59:00,09:59:00,24
2026.02.21 10:01:00,10:01:00,32
2026.02.21 10:02:00,10:02:00,29
2026.02.21 10:03:00,10:03:00,49
2026.02.21 10:04:00,10:04:00,55
2026.02.21 10:05:00,10:05:00,34
2026.02.21 10:06:00,10:06:00,22
2026.02.21 10:07:00,10:07:00,11
2026.02.21 10:09:00,10:09:00,10
2026.02.21 10:10:00,10:10:00,10
2026.02.21 10:11:00,10:11:00,15
2026.02.21 10:12:00,10:12:00,11
2026.02.21 10:13:00,10:13:00,20
2026.02.21 10:14:00,10:14:00,17
2026.02.21 10:15:00,10:15:00,48
2026.02.21 10:17:00,10:17:00,15
2026.02.21 10:18:00,10:18:00,11
2026.02.21 10:19:00,10:19:00,30
2026.02.21 10:20:00,10:20:00,21
2026.02.21 10:21:00,10:21:00,40
2026.02.21 10:22:00,10:22:00,40
2026.02.21 10:23:00,10:23:00,32
2026.02.21 10:24:00,10:24:00,14
2026.02.21 10:25:00,10:25:00,12
2026.02.21 10:27:00,10:27:00,19
2026.02.21 10:28:00,10:28:00,38
2026.02.21 10:29:00,10:29:00,6
2026.02.21 10:30:00,10:30:00,17
2026.02.21 10:34:00,10:34:00,17
2026.02.21 10:38:00,10:38:00,30
2026.02.21 10:50:00,10:50:00,22
2026.02.21 10:57:00,10:57:00,10
2026.02.21 11:04:00,11:04:00,11
2026.02.21 11:05:00,11:05:00,17
2026.02.21 11:06:00,11:06:00,46
2026.02.21 11:07:00,11:07:00,13
2026.02.21 11:08:00,11:08:00,54
2026.02.21 11:09:00,11:09:00,10
2026.02.21 11:14:00,11:14:00,10
2026.02.21 11:23:00,11:23:00,16
2026.02.21 11:25:00,11:25:00,23
2026.02.21 11:26:00,11:26:00,11
2026.02.21 11:30:00,11:30:00,17
2026.02.21 11:31:00,11:31:00,59
2026.02.21 11:32:00,11:32:00,96
2026.02.21 11:33:00,11:33:00,12
2026.02.21 11:34:00,11:34:00,55
2026.02.21 11:35:00,11:35:00,25
2026.02.21 11:36:00,11:36:00,31
2026.02.21 11:37:00,11:37:00,89
2026.02.21 11:38:00,11:38:00,52
2026.02.21 11:39:00,11:39:00,40
2026.02.21 11:41:00,11:41:00,40
2026.02.21 11:44:00,11:44:00,40
2026.02.21 11:46:00,11:46:00,12
2026.02.21 11:47:00,11:47:00,49
2026.02.21 11:49:00,11:49:00,36
2026.02.21 11:50:00,11:50:00,23
2026.02.21 11:54:00,11:54:00,56
2026.02.21 11:55:00,11:55:00,32
2026.02.21 11:58:00,11:58:00,47
2026.02.21 11:59:00,11:59:00,54
2026.02.21 12:00:00,12:00:00,54
2026.02.21 12:01:00,12:01:00,21
2026.02.21 12:02:00,12:02:00,22
2026.02.21 12:05:00,12:05:00,19
2026.02.21 12:06:00,12:06:00,43
2026.02.21 12:09:00,12:09:00,12
2026.02.21 12:10:00,12:10:00,38
2026.02.21 12:11:00,12:11:00,10
2026.02.21 12:12:00,12:12:00,54
2026.02.21 12:13:00,12:13:00,17
2026.02.21 12:14:00,12:14:00,13
2026.02.21 12:18:00,12:18:00,14
2026.02.21 12:19:00,12:19:00,15
2026.02.21 12:21:00,12:21:00,13
2026.02.21 12:22:00,12:22:00,24
2026.02.21 12:24:00,12:24:00,27
