Datum,Zeit,Schritte
2026.02.23 01:25:00,01:25:00,13
2026.02.23 01:26:00,01:26:00,10
2026.02.23 01:27:00,01:27:00,18
2026.02.23 01:28:00,01:28:00,15
2026.02.23 01:29:00,01:29:00,30
2026.02.23 01:30:00,01:30:00,35
2026.02.23 05:41:00,05:41:00,23
2026.02.23 06:03:00,06:03:00,15
2026.02.23 06:04:00,06:04:00,7
2026.02.23 06:05:00,06:05:00,29
2026.02.23 06:06:00,06:06:00,23
2026.02.23 06:07:00,06:07:00,24
2026.02.23 06:08:00,06:08:00,16
2026.02.23 06:09:00,06:09:00,8
2026.02.23 06:10:00,06:10:00,22
2026.02.23 06:13:00,06:13:00,18
2026.02.23 06:14:00,06:14:00,11
2026.02.23 06:15:00,06:15:00,47
2026.02.23 06:52:00,06:52:00,15
2026.02.23 06:53:00,06:53:00,80
2026.02.23 06:54:00,06:54:00,108
2026.02.23 06:55:00,06:55:00,107
2026.02.23 06:56:00,06:56:00,82
2026.02.23 07:02:00,07:02:00,54
2026.02.23 07:03:00,07:03:00,102
2026.02.23 07:04:00,07:04:00,54
2026.02.23 07:05:00,07:05:00,6
2026.02.23 07:11:00,07:11:00,20
2026.02.23 07:12:00,07:12:00,111
2026.02.23 07:13:00,07:13:00,108
2026.02.23 07:14:00,07:14:00,42
2026.02.23 07:15:00,07:15:00,19
2026.02.23 07:16:00,07:16:00,103
2026.02.23 07:17:00,07:17:00,52
2026.02.23 07:19:00,07:19:00,39
2026.02.23 07:20:00,07:20:00,99
2026.02.23 07:21:00,07:21:00,23
2026.02.23 07:27:00,07:27:00,31
2026.02.23 07:44:00,07:44:00,9
2026.02.23 07:46:00,07:46:00,16
2026.02.23 08:05:00,08:05:00,22
2026.02.23 08:44:00,08:44:00,11
2026.02.23 09:27:00,09:27:00,24
2026.02.23 09:28:00,09:28:00,94
2026.02.23 09:29:00,09:29:00,81
2026.02.23 09:30:00,09:30:00,43
2026.02.23 09:33:00,09:33:00,19
2026.02.23 10:29:00,10:29:00,38
2026.02.23 10:33:00,10:33:00,18
2026.02.23 10:36:00,10:36:00,11
2026.02.23 11:17:00,11:17:00,14
2026.02.23 11:18:00,11:18:00,74
2026.02.23 11:19:00,11:19:00,107
2026.02.23 11:20:00,11:20:00,95
2026.02.23 11:21:00,11:21:00,63
2026.02.23 11:22:00,11:22:00,66
2026.02.23 11:23:00,11:23:00,65
2026.02.23 11:24:00,11:24:00,32
2026.02.23 11:25:00,11:25:00,50
2026.02.23 11:26:00,11:26:00,25
2026.02.23 11:29:00,11:29:00,39
2026.02.23 11:32:00,11:32:00,41
2026.02.23 11:33:00,11:33:00,54
2026.02.23 11:34:00,11:34:00,93
2026.02.23 11:35:00,11:35:00,100
2026.02.23 11:36:00,11:36:00,90
2026.02.23 11:37:00,11:37:00,86
2026.02.23 11:38:00,11:38:00,22
2026.02.23 11:39:00,11:39:00,8
2026.02.23 11:40:00,11:40:00,8
2026.02.23 11:54:00,11:54:00,7
2026.02.23 12:12:00,12:12:00,24
2026.02.23 12:16:00,12:16:00,8
2026.02.23 13:51:00,13:51:00,32
2026.02.23 13:52:00,13:52:00,99
2026.02.23 13:53:00,13:53:00,50
2026.02.23 13:54:00,13:54:00,28
2026.02.23 13:55:00,13:55:00,44
2026.02.23 15:19:00,15:19:00,24
2026.02.23 15:20:00,15:20:00,95
2026.02.23 15:22:00,15:22:00,9
2026.02.23 15:24:00,15:24:00,85
2026.02.23 15:25:00,15:25:00,22
2026.02.23 15:26:00,15:26:00,9
2026.02.23 16:26:00,16:26:00,6
2026.02.23 16:28:00,16:28:00,88
2026.02.23 16:29:00,16:29:00,97
2026.02.23 16:30:00,16:30:00,78
2026.02.23 16:31:00,16:31:00,101
