Datum,Zeit,Schritte
2026.02.23 16:32:00,16:32:00,100
2026.02.23 16:33:00,16:33:00,70
2026.02.23 16:34:00,16:34:00,94
2026.02.23 16:42:00,16:42:00,27
2026.02.23 16:43:00,16:43:00,79
2026.02.23 16:44:00,16:44:00,74
2026.02.23 16:45:00,16:45:00,27
2026.02.23 16:47:00,16:47:00,6
2026.02.23 16:59:00,16:59:00,101
2026.02.23 17:00:00,17:00:00,109
2026.02.23 17:01:00,17:01:00,39
2026.02.23 17:02:00,17:02:00,109
2026.02.23 17:03:00,17:03:00,26
2026.02.23 17:04:00,17:04:00,13
2026.02.23 17:05:00,17:05:00,14
2026.02.23 17:14:00,17:14:00,11
2026.02.23 17:15:00,17:15:00,8
2026.02.23 17:42:00,17:42:00,80
2026.02.23 17:43:00,17:43:00,107
2026.02.23 17:44:00,17:44:00,105
2026.02.23 17:45:00,17:45:00,110
2026.02.23 17:46:00,17:46:00,114
2026.02.23 17:47:00,17:47:00,112
2026.02.23 17:48:00,17:48:00,114
2026.02.23 17:49:00,17:49:00,111
2026.02.23 17:50:00,17:50:00,110
2026.02.23 17:51:00,17:51:00,110
2026.02.23 17:52:00,17:52:00,112
2026.02.23 17:53:00,17:53:00,86
2026.02.23 17:54:00,17:54:00,44
2026.02.23 17:55:00,17:55:00,11
2026.02.23 17:57:00,17:57:00,20
2026.02.23 17:59:00,17:59:00,40
2026.02.23 18:00:00,18:00:00,35
2026.02.23 18:01:00,18:01:00,7
2026.02.23 18:22:00,18:22:00,47
2026.02.23 18:23:00,18:23:00,4
2026.02.23 18:25:00,18:25:00,47
2026.02.23 18:26:00,18:26:00,64
2026.02.23 18:27:00,18:27:00,7
2026.02.23 18:30:00,18:30:00,25
2026.02.23 18:34:00,18:34:00,14
2026.02.23 18:35:00,18:35:00,18
2026.02.23 18:36:00,18:36:00,25
2026.02.23 18:37:00,18:37:00,25
2026.02.23 18:38:00,18:38:00,47
2026.02.23 18:39:00,18:39:00,26
2026.02.23 18:40:00,18:40:00,3
2026.02.23 18:41:00,18:41:00,62
2026.02.23 18:42:00,18:42:00,19
2026.02.23 18:45:00,18:45:00,16
2026.02.23 18:48:00,18:48:00,51
2026.02.23 18:55:00,18:55:00,38
2026.02.23 18:57:00,18:57:00,16
2026.02.23 18:59:00,18:59:00,15
2026.02.23 19:02:00,19:02:00,41
2026.02.23 19:08:00,19:08:00,16
2026.02.23 19:09:00,19:09:00,32
2026.02.23 19:10:00,19:10:00,57
2026.02.23 19:11:00,19:11:00,49
2026.02.23 19:12:00,19:12:00,51
2026.02.23 19:13:00,19:13:00,108
2026.02.23 19:14:00,19:14:00,112
2026.02.23 19:15:00,19:15:00,113
2026.02.23 19:16:00,19:16:00,112
2026.02.23 19:17:00,19:17:00,113
2026.02.23 19:18:00,19:18:00,112
2026.02.23 19:19:00,19:19:00,107
2026.02.23 19:20:00,19:20:00,111
2026.02.23 19:21:00,19:21:00,108
2026.02.23 19:22:00,19:22:00,101
2026.02.23 19:23:00,19:23:00,20
2026.02.23 19:24:00,19:24:00,17
2026.02.23 19:25:00,19:25:00,10
2026.02.23 19:26:00,19:26:00,33
2026.02.23 19:27:00,19:27:00,37
2026.02.23 19:29:00,19:29:00,21
2026.02.23 19:38:00,19:38:00,32
2026.02.23 19:39:00,19:39:00,8
2026.02.23 19:47:00,19:47:00,19
2026.02.23 19:48:00,19:48:00,33
2026.02.23 19:49:00,19:49:00,7
2026.02.23 19:57:00,19:57:00,12
2026.02.23 20:01:00,20:01:00,7
2026.02.23 20:02:00,20:02:00,8
2026.02.23 20:07:00,20:07:00,8
2026.02.23 20:09:00,20:09:00,11
2026.02.23 20:18:00,20:18:00,16
2026.02.23 20:25:00,20:25:00,49
2026.02.23 20:26:00,20:26:00,10
2026.02.23 20:30:00,20:30:00,34
2026.02.23 20:42:00,20:42:00,15
2026.02.23 20:46:00,20:46:00,68
2026.02.23 20:47:00,20:47:00,18
2026.02.23 20:48:00,20:48:00,7
2026.02.23 20:49:00,20:49:00,8
2026.02.23 20:50:00,20:50:00,82
2026.02.23 20:51:00,20:51:00,73
2026.02.23 20:52:00,20:52:00,109
2026.02.23 20:53:00,20:53:00,105
2026.02.23 20:54:00,20:54:00,104
2026.02.23 20:55:00,20:55:00,102
2026.02.23 20:56:00,20:56:00,105
2026.02.23 20:57:00,20:57:00,105
2026.02.23 20:58:00,20:58:00,105
2026.02.23 20:59:00,20:59:00,100
2026.02.23 21:00:00,21:00:00,100
2026.02.23 21:01:00,21:01:00,103
2026.02.23 21:02:00,21:02:00,68
2026.02.23 21:03:00,21:03:00,31
2026.02.23 21:04:00,21:04:00,41
2026.02.23 21:05:00,21:05:00,7
2026.02.23 21:06:00,21:06:00,28
2026.02.23 21:07:00,21:07:00,23
2026.02.23 21:21:00,21:21:00,25
2026.02.23 21:35:00,21:35:00,30
2026.02.23 21:42:00,21:42:00,12
2026.02.23 21:43:00,21:43:00,48
2026.02.23 21:44:00,21:44:00,1
2026.02.23 21:54:00,21:54:00,18
2026.02.23 21:55:00,21:55:00,17
2026.02.23 22:18:00,22:18:00,6
2026.02.23 22:23:00,22:23:00,10
2026.02.23 22:24:00,22:24:00,15
2026.02.23 22:25:00,22:25:00,6
2026.02.23 22:58:00,22:58:00,8
